"DOI";"Title";"Abstract";"Date";"Link";"CitationCount";"Label"
"10.1016/j.jclepro.2023.139343";"Resynthesis of cathode active material from heterogenous leachate composition produced by electric vehicle (EV) battery recycling stream";"Massive growth of electric vehicle (EV) sales in recent years triggers the huge demands of certain elements for lithium-ion battery (LIB) production. To sustain the supply of the elements and contribute to its circularity, LIB recycling is one of the justified routes. Although hydrometallurgy is considered as the most common process in battery recycling, improvements are still required to make the recycling process cleaner by reducing the steps and minimizing the chemical use. To achieve this goal, co-precipitation method is proposed to produce cathode active metals (CAM) of Li, Ni, Mn and Co from the leach solution. As battery chemistry is evolving fast, in near future, the dominant LiNi1/3Mn1/3Co1/3O2 (LNMC 111) type will be replaced by other types with different NMC ratios. Hence, in this study, co-precipitation was tested to recover Li, Ni, Mn and Co from various leachates with different metal compositions, simulating leachates from different battery chemistries. A hydrometallurgy flowsheet comprising four precipitation steps for metal recoveries from leach solutions was developed. In the first stage, aluminium was removed as Al(OH)3 by increasing the pH of the leachate to 5.5. Cu was removed in the next stage as sulfide by adding sodium sulfide to the supernatant obtained in the first stage. In the third stage, Ni, Mn and Co were co-precipitated as hydroxide precursor by increasing pH of supernatant to 11. The results showed that >95% of Ni, >83% Co, and >42% of Mn could be precipitated from the leaching liquor. Finally, Li is recovered from the supernatant as carbonate precipitate by adding sodium carbonate. Ni,Mn,Co(OH)2 precursor was finally mixed with Li2CO3 precipitated and calcined to resynthesize CAM showing the potential of this process to close the loop of recycling.";"2023-12-01";"https://www.sciencedirect.com/science/article/pii/S0959652623035011";"13";"Batteries"
"10.1016/j.jclepro.2023.139645";"Novel approach to recycling of valuable metals from spent lithium-ion batteries using hydrometallurgy, focused on preferential extraction of lithium ";" Traditional recycling technology for spent lithium-ion batteries faces the issue of low Li recovery due to the considerable Li loss during leaching and further purification operations. To improve the Li recovery, high-pressure acid leaching using H2SO4 for Li preferential liberation and the subsequent purification were systematically investigated. Experimental results showed that 97.6% of Li was preferentially leached with about 2% of Ni, Co, and Mn co-leached, and a leaching solution with a Li+ concentration of 21.46 g/L was obtained. Further characterization indicated that most of Li was first liberated and exchanged by the proton (H+), then the high reaction temperature induced the hydrolysis of the co-leached Ni2+, Co2+, and Mn2+ and generated extra H+ prompted a deeper liberation of Li from the undissolved NCM structures. Additionally, the high-purity Li2CO3 was achieved via a synergistic extraction by D2EHPA and 4PC for the deep removal and recovery of co-leached Ni/Co/Mn followed by carbonation. Compared with the traditional end-Li-recovery method, the proposed method possesses the advantages of a short Li extraction process, high recovery, and low cost. Moreover, the preferential leaching of Li provided an opportunity for a novel hydrometallurgical process to recover spent lithium-ion batteries that consists of Li preliminary leaching, Ni–Co–Mn material leaching, precipitation of Fe/Al, and selective extraction of F, Ni, Co, and Mn was not separated that shorten the flowsheet in this process, dramatically reduced reagent consumption and wastewater generation. ";"2023-12-15";"https://www.sciencedirect.com/science/article/pii/S0959652623038039";"31";"Batteries"
"10.1016/j.jclepro.2023.139548";"Synergies between Carnot battery and power-to-methanol for hybrid energy storage and multi-energy generation ";" Power-to-methanol (PtMe) technologies and Carnot batteries are two promising approaches for large-scale energy storage. However, the current low efficiency and inadequate profitability of these two technologies, especially concerning green methanol production, pose challenges for their industrial implementation. One solution is to integrate these two technologies to augment the material and energy utilization efficiency through dynamic operational coordination and multi-energy production. This study systematically investigates the synergies of integrating CO2 energy storage (CES) and PtMe for combined heating, power, and methanol generation, aiming to enhance system's efficiency and economic viability. In this context, a novel hybrid energy-driven polygeneration system (CES-PtMe) is developed, featuring a highly integrated methanol production process and a newly proposed CES configuration with heating input and output capabilities. Detailed system simulations assess its performance under steady state, while nonlinear programming models are formulated for optimal storage sizing and energy scheduling considering fluctuating renewable energy. Various scenarios are set to examine the techno-economic potential of the CES-PtMe system, using renewable data from Gansu, China as a case study. The results indicate that the system can achieve a high efficiency of nearly 80% with a renewable penetration exceeding 77%. By incorporating optimal energy scheduling throughout the year, the system shows economic viability in the context of the current fossil energy market. While it has a limited ability to meet user energy demands, the proposed system retains economic benefits compared to standalone technologies. ";"2023-12-10";"https://www.sciencedirect.com/science/article/pii/S095965262303706X";"9";"Batteries"
"10.1016/j.jclepro.2023.139568";"Powering a vanadium redox flow battery using spent vanadium catalyst: Extraction of direct-use V(IV)/V(III) vanadium precursors ";" Vanadium redox flow battery (VRFB) is an emerging energy storage system for large scale renewable energy storage. However, due to limited stock of primary sources of vanadium within the earth's crust, the sourcing of vanadium pentoxide for potential VRFB installations will warrant a steep price increment for vanadium commodity. To tackle this challenge, the present study focusses on powering a VRFB using secondary sources such as the spent vanadium catalyst. In this work, a novel and sustainable extraction technique is designed to extract vanadium from spent vanadium catalyst retired from sulfuric acid plants. The extracted vanadium precursors are pure phase V2O4 and V2O3 as confirmed by XRD and ICP-MS analysis. Furthermore, unlike V2O5, these can be directly used to synthesize the positive and negative VRFB electrolytes without any further treatment. Moreover, the electrolyte prepared from the extracted vanadium precursors deliver charge-discharge profiles and discharge capacity (Ah/L) fade trend similar to the commercial vanadium electrolytes for more than 300 cycles in a single-cell VRFB at 80 mA/cm2. Finally, an economic analysis model is developed for a 10 kW/120 kWh VRFB installation which suggests that the cost of synthesizing vanadium electrolyte using spent vanadium catalyst is 2.73 $/L. Moreover, the cost of extraction of V2O4 and V2O3 is 20.52 $/kg and 22.78 $/kg, respectively, which is significantly less than the commercial prices. ";"2023-12-01";"https://www.sciencedirect.com/science/article/pii/S0959652623037265";"10";"Batteries"
"10.1016/j.jclepro.2023.139468";"A comprehensive study of parasitic gas evolution reactions in a vanadium redox flow battery ";" The gas evolution reactions (GERs) in a vanadium redox flow battery (VRFB) are dangerous and can cause a series of issues such as an imbalance in the state of charge (SOC) and electrode degradation, among others. To gain a deeper understanding of parasitic GERs in VRFBs, a transient multidimensional multiphysics VRFB model was developed by coupling the transport of multiphase species and electrochemical reactions. First, it was predicted that the hydrogen evolution reaction (HER) occurs during the whole charge-discharge process due to the negative activation overpotential of the HER whereas the oxygen evolution reaction (OER) occurs only at the end of the charging process. Second, the charging current has a strong effect on the HER in the region near the bipolar plate. Third, it was found that the HER increases almost seven times (from 163.3 A m−3 to 1167.1 A m−3) when the operating temperature increases from 298.15 K to 313.15 K. The temperature has a more significant effect on the activation overpotential of OER than that of HER. Furthermore, the increasing HER with the increasing SOC results in an SOC imbalance of 0.54% after 10 charge-discharge cycles, which accounts for 11% of the overall capacity loss. ";"2023-11-20";"https://www.sciencedirect.com/science/article/pii/S0959652623036260";"9";"Batteries"
"10.1016/j.jclepro.2023.139554";"A novel method for constructing the relationships between state of charge and open-circuit voltage of lithium-ion battery under different temperatures with reduced test time ";" The equivalent circuit models (ECMs) have been extensively applied to estimate the state-of-charge (SOC) for lithium-ion batteries. And it is significant for ECMs to establish the relationship between the open-circuit voltage (OCV) and SOC. The accurate relationship is usually obtained from the incremental OCV (IO) test, which is time-consuming for each OCV test point. To overcome this shortcoming, a novel method for obtaining the relationship is proposed to save test time. Firstly, five OCV test points of the IO tests are used under different temperatures, and the OCV change trend along the SOC is acquired from the low-current OCV test at room temperature, from which the feature points are extracted by the Douglas-Peucker algorithm to express the OCV change trends. Finally, the OCV test points are connected by moving feature points twice to construct the SOC-OCV curves under different temperatures with fewer OCV test points. The SOC estimations of two different lithium-ion batteries are achieved based on the second-order RC ECM using the adaptive extended Kalman filter. The results indicate that the SOC estimations are more accurate in a wide temperature range compared to the traditional method while the time for OCV tests is reduced by at least 50%. ";"2023-11-20";"https://www.sciencedirect.com/science/article/pii/S0959652623037125";"9";"Batteries"
"10.1016/j.jclepro.2023.139338";"Induction heating as a pre-treatment for the recycling of Li-ion battery cathodes – Technical feasibility ";" Production capacities for lithium-ion batteries are being expanded globally to meet the rising demand for energy storage applications. However, high scrap rates represent a key challenge for the production of lithium-ion batteries, especially for electrode manufacturing. The recycling of cathode production scraps that occur as intermediate products in electrode manufacturing offers a good possibility to reuse valuable battery active materials and close the material cycle within the production line. In this work we develop a novel method based on electromagnetic induction to separate cathode coating and aluminum foil. A cathode coil rejected from production was cut into sheets which were inductively heated to 300, 400 and 550 °C. The thermally pre-treated sheets were stressed in a cutting mill. With this method the coating could be separated from the foil up to 99.12 %. The aluminum impurities in the recycled fine powder fraction could be kept at a low level of 0.27 wt.-% at maximum. Agglomerates in the powder fraction could be significantly reduced through the thermal pre-treatment. This work shows the feasibility of induction heating as an energy-efficient and flexible thermal pre-treatment for the recycling of roll-to-roll cathode materials. ";"2023-11-20";"https://www.sciencedirect.com/science/article/pii/S0959652623034960";"9";"Batteries"
"10.1016/j.jclepro.2023.139488";"Recycling valuable metals from spent lithium-ion battery cathode materials based on microwave-assisted hydrogen reduction followed by grind-leaching and magnetic separation ";" The efficient and clean recycling of spent lithium-ion batteries (LIBs) is essential for resource conservation and environmental protection. This work proposes a facile and clean process for recovering of valuable metals based on microwave-assisted hydrogen reduction of spent cathode materials followed by grind-leaching and magnetic separation. After hydrogen reduction, the spent cathode material was transformed into water-soluble LiOH, Ni–Co alloy and MnO, wherein LiOH was preferentially dissolved by grind-leaching, while Ni–Co alloy was recycled by magnetic separation. Compared with the traditional carbothermal reduction, lithium was converted into LiOH instead of Li2CO3, and the Li leaching efficiency was significantly improved. Ni–Co alloy can be separated with MnO via simple magnetic separation without acid leaching. Effects of roasting (roasting temperature and time) and grind-leaching (grinding time and liquid-to-solid ratio) parameters on the recoveries of Li, Ni, Co and Mn were investigated. Under the conditions of roasting temperature of 973 K, roasting time of 60 min, grinding time of 30 min and liquid-to-solid ratio of 5 mL/g, the grind-leaching efficiency of Li was 98.17%. Ni and Co were enriched in the magnetic material with recoveries of 99.71% and 98.52%, respectively. Moreover, the coupling mechanism between Li dissolution and particle dissociation during the grind-leaching process was revealed. ";"2023-11-20";"https://www.sciencedirect.com/science/article/pii/S0959652623036466";"24";"Batteries"
"10.1016/j.jclepro.2023.139073";"Evaluation of the central and local power batteries recycling policies in China: A PMC-Index model approach ";" The efficient and effective new energy vehicles (NEVs) power batteries recycling (PBR) plays a critical role in reusing scared metal resources, decarbonizing the transport sector and climate warming mitigation. The policy consistency from up to down in a big country lays a solid foundation for sustainable recycling. However, quantitative comparison or evaluation of power batteries recycling policies (PBRPs) from various levels of government is insufficient in the existing literature. In this paper, text mining technology and the Policy Modelling Consistency Index (PMC-Index) model are used to evaluate the longitudinal and horizontal consistency level of China's 13 central PBRPs as well as 25 local PBRPs from 2016 to 2022. The findings demonstrated that: (1) Longitudinally, the local governments present a high consistency level with the central government in the objective and content of PBRPs via comparison analysis of high-frequency words, which embodies the local governments firmly advocating the national strategy for retired battery recycling. (2) Horizontally, the number of central PBRPs with excellent and good consistency is five and seven, respectively, while the number of local PBRPs with excellent and good consistency is six and seven, respectively. One central and twelve local PBRPs are of acceptable consistency, indicating significant disparity in local governments' policymaking ability. (3)The drawbacks of those acceptable policies attribute to the policy tendency of traceability management, policy timeliness, policy content in terms of incentives and business recycling model. Finally, management implications were summarized to optimize China's PBRPs system and PBR performance based on the empirical result, an overview of PBRPs and recycling practices in developed countries. ";"2023-11-15";"https://www.sciencedirect.com/science/article/pii/S0959652623032316";"28";"Batteries"
"10.1016/j.jclepro.2023.138937";"Monitoring the Italian transposition of the EU regulation concerning renewable energy communities and the relevant policies for battery storage";"This paper deals with the transposition of the European Union (EU) Directive concerning Renewable Energy Communities (RECs) into the Italian legislation. The methodology aims at identifying those national provisions which do not comply with the EU legislation. Consequently, long and onerous infringement procedures may ultimately limit the development of RECs. Moreover, the proposed methodology quantifies the economic value of national policies concerning the participation of storage assets in RECs. Three policy options are compared against the case without flexible assets. To do so, ad-hoc mixed-integer linear programming optimization problems are developed. The assessment is based on the formulation of three key performance indicators, concerning the revenues and costs of the REC. The main data sources in the work are the actual Italian Wholesale Market prices and the price incentives introduced by relevant Italian authorities to support the operation of the RECs. Results indicate an incorrect transposition of the fundamental rights of the EU law. These concern a significant alteration of the membership criteria for prospective RECs and the introduction of external third-parties, which may bypass fundamental requirements set out in the EU law. Numerical results call for a profound revision of the policy options for battery storage in RECs since the envisaged configurations introduce structural limits to the REC's revenues This work can support researchers and policy makers at both national and EU-level in developing policy options and techno-economic measures that foster the development of new RECs.";"2023-11-01";"https://www.sciencedirect.com/science/article/pii/S0959652623030950";"6";"Batteries"
